,joke
407,What do you call someone that plays Tenor and Alto saxophone? Bisaxual
408,To the person who stole my case of energy drinks: I bet you can't sleep at night.
409,What's Forrest Gump's password? 1forrest1
410,"My wife asked me to stop singing Wonderwall' to her. I said ""Maybe...""."
411,"It's crazy. One minute you're getting drunk as a skunk, then next thing you know, you're in the back of an ambulance. I really shouldn't be a paramedic."
412,What happens when a strawberry gets run over crossing the street?' 'Traffic jam.' 
413,Did anyone hear about that country who started using balloons as currency? They ended up with a massive inflation problem.
414,I just broke up with my mathematician girlfriend. She was obsessed with an X.
415,50 Shades He slowly but firmly grabs my throat. I try to say goodbye and I choke. I try to walk away and I stumble...'- 50 Shades of Macy Gray.
416,What did Baby Corn say to Mama Corn?' 'Where's Pop Corn?' 
417,What does a painter do when he gets cold? Puts on another coat.
418,"When my uncle Frank died, he wanted his remains to be buried in his favorite beer mug. His last wish was to be Frank in Stein. "
419,How often do Jamaican farmers milk their cows? Every udder day
420,"While I was walking down the street I saw someone pushing a shopping trolley The shopping trolley was fully of horseshoes, four leaf clovers and rabbits feet. I asked them what they were doing. They told me they were pushing their luck."
421,"I helped my uncle jack off a horse My uncle jack is really heavy, so it was hard to get him off of the horse"
422,"Seriously, she has Multiple Personality Disorder? Yeah, crazy right. Sharon is Karen."
423,How did the chemist feel about oxygen and potassium hanging out? OK.
424,Why can't a nose be 12 inches long? Because then it would be a foot.' 
425,"We’re renovating the house, and the first floor is going great, but the second floor is another story."
426,Where did the cat go after losing its tail? To the retail store.
427,What do you call a happy cowboy? A jolly rancher.
428,"I ordered some Avocado Toast at a cafe, but imagine my surprise when I was given 602214076000000000000000 pieces of toasts. It was then I realized... ...I'd accidentally ordered Avogadro's Toast."
429,Why do peppers make such good archers? Because they habanero.
430,I don't trust a teacher who reviews every single piece of homework they give out I think they're mass-grading as someone else.
431,The house just voted to decriminalize marijuana and Oregon recently decriminalized hard drugs. It looks like drugs is winning the war on drugs.
432,What has five toes and isn’t your foot? My foot.
433,What do you call it when a snowman throws a tantrum?' 'A meltdown.' 
434,"I got into a discussion with my coworker today about surnames. How they originated from what people were known for. Smith, shoemaker, etc. Well my great great great great great great grandfather's name was Horace P. Horsefucker. He got a bad rap. It was consensual...though the horse said neigh."
435,"I have a joke about inferiority complexes, but it’s not very good."
436,My sister-in-law is an archaeologist. Only person I’ve known that is excited to find a bone in her chicken.
437,"To whoever stole my copy of Microsoft Office, I will find you. You have my Word. "
438,Why do bees have sticky hair? Because they use honey combs.
439,This graveyard looks overcrowded. People must be dying to get in there.
440,"Lance isn't that common a name these days, but in medieval times, they were called lance-a-lot. "
441,Time flies like an arrow. Fruit flies like a banana.
442,Why do nurses like red crayons? Sometimes they have to draw blood.
443,A red and blue ship have collided in the Carribean sea. Apparently the suvivors are marooned.
444,"birthday card I received from my brother...Forget about the past you can't change it, forget about the future, you can't predict it, forget about the present... I didn't get you one."
445,Which bear is the most condescending? A pan-duh.
446,"The United Kingdom is to provide special support to those self-identify as gnomes, fairies or pixies... It'll be known as the National Elf Service."
447,I locked myself out of the house earlier so I shouted through the letterbox to my cat to let me in.He said: “Me? How?”
448,"My mother in law bought a talking parrot, but returned it a week later. ""This parrot hasn't spoke a single word."" She complained.""I haven't had a fucking chance to!"" Replied the parrot."
449,"Clothes, but no cigar."
450,How does a lawyer say goodbye? I'll be suing ya!
451,Where do math teachers go on vacation? Times Square. 
452,"(Reversing the car) ""Ahh, this takes me back."""
453,Why did the cucumber cross the street? Because it was green.
454,"“What’s your name, son?” The principal asked his student. The kid replied, “D-d-d-dav-dav-david, sir.” “Do you have a stutter?” the principal asked. The student answered, “No sir, my dad has a stutter but the guy who registered my name was a real jerk.”"
455,"A panic-stricken man explained to his doctor, 'You have to help me, I think I’m shrinking.' 'Now settle down,' the doctor calmly told him. 'You'll just have to learn to be a little patient.' "
456,What is the difference between a freshly made pizza and a hungry jungle tiger? One tastes delicious to you and you taste delicious to one.
457,I gave away all my used batteries today. Free of charge!
458,I'm so good at sleeping that I do it with my eyes closed.
459,What do you call a man with a rubber toe? Roberto.
460,A sandwich walks into a bar. The barman says: 'sorry we don't serve food here'
461,"Did you hear the one about the roof? Never mind, it's over your head. "
462,I was just reminiscing about the beautiful herb garden I had when I was growing up. Good thymes. 
463,How do birds learn to fly? They wing it.
464,What does an evil hen lay? Deviled eggs.
465,What did settlers eat when they headed west? Oregon Trail Mix. I hope this joke doesn't die of dysentery.
466,Where do math teachers go on vacation?' 'Times Square.' 
467,What do you call a fish with two knees? A tuna (two-knee) fish!
468,"I just don't trust stairs, they're always up to something."
469,"Putin on a trip. Vladimir Putin is traveling abroad. He enters the customs line, approaches the agent and is asked:Agent: age?Putin: 66Agent: occupation? Putin: not this time, just visiting."
470,What did the nose tell the finger? Stop picking on me!
471,Did you hear about the man who fell into an upholstery machine? He's fully recovered.
472,Until this crisis is over im going to stick to masturbation just before 8pm on Thursday evenings The neighbourhood applauding me as I finish is just the confident booster I need
473,How do celebrities stay cool? They have many fans. 
474,An apple a day keeps the doctor away. At least it does if you throw it hard enough. 
475,What did the janitor say when he jumped out of the closet?' 'Supplies!' 
476,What's a James Cagney love scene? When he lets the other guy live.
477,"A man argued with his wife over whether or not he stood with a hunch For months he maintained that his posture was fine. Finally, to prove her wrong, he made an appointment with a posture specialist. When he returned, his wife asked if the specialist agreed with her and helped him.  He replied, “I stand corrected.”"
478,I don't get why bakers aren't wealthier. They make so much dough. 
479,What did the two pieces of bread say on their wedding day? It was loaf at first sight.
480,“Did you hear that I’m reading a book about anti-gravity? It’s impossible to put down.”
481,"“Siri,” I asked my phone, “why am I so bad with women?"" She responded, “I’m Bixby, you moron.”"
482,"My dad died because he couldn’t remember his blood type. He kept insisting we “be positive,” but it’s just so hard without him."
483,Wanna hear a joke about paper? Never mind. It's tearable.
484,Why is it so cheap to throw a party at a haunted house? Because the ghosts bring all the boos.
485,What invention allows us to see through walls? Windows.
486,"I was going to go on an expensive vacation with a classical pianist, but he was too baroque."
487,Did you hear about the whale that swallowed a clown? It felt funny after.
488,My mom told me to load the dish washer. So I got her pregnant.
489,How do you handle a fear of elevators? You take steps to avoid them.
490,The German women’s beach volleyball team plays against the Brazilian women’s beach volleyball team. Who wins? The audience
491,I was addicted to hokey pokey…but I turned myself around. 
492,What do you call a Muslim eating a lettuce? Saladin
493,How do you follow Will Smith in the snow? You follow the fresh prints. 
494,What type of toilets do pirates prefer? Port-a-potties.I'll sea myself out.
495,Why do cows have hooves and not feet? They lactose.
496,Did you know that the Earth’s gravity increases a bit on Easter Sunday? It’s cuz there’s a lot more mass.
497,"Dad, can you explain to me what a solar eclipse is?' No sun. "
498,"Did you hear the one about the roof? Never mind, it's over your head. "
499,"What do you call a ""Grilled Cheese"" after a few days in the fridge? Chilled Grease"
500,"Women should not have children after 36—really, 36 children is enough. "
501,Why should you never use a dull pencil? Because it’s pointless.
502,During quarantine no one got my humor. I guess it was all the inside jokes.
503,I called up GameStop customer support They told me to hold.
504,"A son tells his father, 'I have an imaginary girlfriend.' The father sighs and says, 'You know, you could do better.' 'Thanks Dad,' the son says. 'That means a lot.' The father shakes his head and goes, 'I was talking to your girlfriend.' "
505,"How to let a squirrel go down from a tree? Show him your nuts!(Idk if this is known, my brother told me about this)"
506,What country's capital is growing the fastest?' 'Ireland. Every day it's Dublin.' 
507,"My dad was born a conjoined twin, but separated at birth. So I have an uncle, once removed."
508,"If you see a crime at an Apple store, are you an iWitness?"
509,What would you do if all US currency turned in to cheese? Personally I'd just start using a swiss bank
510,Where do Brain Surgeon Students go to study? The Hippocampus
511,I made a pencil with two erasers. It was pointless.' 
512,They say criminals always return to the scene of the crime. No wonder there are so many Australians in the UK.
513,How you fix a broken pumpkin? With a pumpkin patch.
514,"Saw a fat chick wearing a shirt that said “guess” So I said about 340, now she wants to fight"
515,What happened when the blue ship and the red ship collided at sea? Their crews were marooned.
516,If I ever find the doctor who screwed up my limb replacement surgery…I’ll kill him with my bear hands. 
517,"I was in a grocery store when a man started to throw cheese, butter and yoghurt at me. How Dairy! "
518,I only seem to get sick on weekdays. I must have a weekend immune system.
519,Why is it a bad idea to eat a clock? Because it's so time-consuming. 
520,How many apples grow on a tree? All of them! 
521,The coach went to the bank to get his quarterback.
522,The world tongue-twister champion just got arrested. I hear they’re gonna give him a really tough sentence. 
523,"I have a joke about the flu, but I hope you don’t get it."
524,Did you hear about the walnut and cashew that threw a party? It was nuts.
525,What made the tomato blush? It saw the salad dressing. 
526,"A turtle is crossing the road when he’s mugged by two snails. When the police ask him what happened, the shaken turtle replies, “I don’t know. It all happened so fast. ' "
527,What do Giraffes eat? Macaroni and leaves.
528,"Do you know the last thing my grandfather said to me before he kicked the bucket? 'Grandson, watch how far I can kick this bucket.' "
529,How many paranoids does it take to change a light bulb? Who wants to know? 
530,My friend Stewie used to start a lot of fights That's why everyone called himBeef Stew
531,"Two strings walk into a bar... ...the bartender says, ""What'll it be?"". The first string says, ""I'll have a gin and tonic#MV*()>SDk+!^ &@P&]JEA&#65535;Segmentation Fault"".The second string says, ""You'll have to excuse my friend, he's not null-terminated."""
532,Why did Eminem prefer the Johnson & Johnson vaccine? You only get one shot. 
533,What did the nose tell the finger? Stop picking on me!
534,"I bought some shoes from a drug dealer. I don't know what he laced them with, but I was tripping all day!"
535,What invention allows us to see through walls? Windows.
536,What’s a skeleton’s favorite dish at a BBQ? Ribs!
537,My wife gave birth three times and still fits in her prom dress from high school. I gave birth zero times and I don’t fit in my pants from March. 
538,What do you call a belt made of watches?' 'A waist of time.' 
539,How do you make holy water? You boil the hell out of it.
540,"My parents are divorced, and my dad took it kinda hard I once asked him for an xbox, and he handed me a container of my mom's stuff."
541,A friend of mine didn’t pay his exorcist. He got repossessed. 
542,What did Trump say when he hit the button on his alarm clock but it wouldn't stop beeping? Fake snooze
543,"Two blondes are facing each other across a wide stream. One yells to the other, 'How do you get to the other side?'  The other blonde replies, 'You are on the other side!'"
544,How did Harry Potter get down the hill?' 'Walking. JK! Rowling.'  
545,"Why do seagulls fly over the ocean?' 'Because if they flew over the bay, we'd call them bagels.' "
546,How do you make 7 even? You take away the s. 
547,"If money doesn’t grow on trees, then why do banks have branches?"
548,"What does drinking kombucha and giving blow jobs have in common? If you've ever finished one properly, you already know."
549,What’s orange and sounds like a parrot? A carrot. 
550,"Did you hear the rumor about butter? Well, I’m not going to go spreading it!"
551,Why do birds fly south? Because it’s too far to talk.
552,Does anyone need an ark? I Noah guy!
553,How does a penguin build a house? Igloos it together. 
554,"Yesterday I accidentally swallowed some food colouring. The doctor says i'm ok, but i feel like i've dyed a little inside."
555,My grandfather destroyed almost a hundred aircraft in World War Two! He must have been the worst mechanic in the Luftwaffe.
556,I don't trust stairs. They're always up to something. 
557,Why can’t a leopard hide? Because he’s always spotted. 
558,Why did the girl toss a clock out the window? She wanted to see time fly.
559,"A man is on trial for cannibalism. The judge asks what the defendant has to say for himself. The man replies, ""if you are what you eat, then I am the real victim here."""
560,Time flies like an arrow. Fruit flies like a banana.
561,Have you ever tried to catch a fog? I tried yesterday but I mist.' 
562,I don't trust stairs. They're always up to something.
563,Where was the dripping coming from in the fridge? The leeks.
564,"My kid wants to invent a pencil with an eraser on each end, but I just don’t see the point. "
565,"Of all the inventions of the last 100 years, the dry erase board has to be the most remarkable."
566,What's a lawyer's favorite drink? Subpoena colada. 
567,"When my uncle Frank died, he wanted his remains to be buried in his favorite beer mug. His last wish was to be Frank in Stein. "
568,What does a librarian use to go fishing? A bookworm.
569,I catered a movie night where they watched titanic. Safe to say the iceberg lettuce wraps didn’t go over well.
570,What’s a horse’s number one priority when voting? The stable economy! 
571,What do you call a cow with two legs? Lean beef.
572,How do you make a tissue dance? You put a little boogie in it.
573,What do you call recently-married spiders? Newly-webs.
574,"The wedding was so beautiful, even the cake was in tiers."
575,What did the two pieces of bread say on their wedding day? It was loaf at first sight.
576,    My wife and I have decided not to have kids. The kids are taking it pretty badly. 
577,"I wish my gray hair started in Las Vegas because what happens in Vegas, stays in Vegas."
578,What do you call a fly with a sore throat? A hoarse fly.
579,"In my free time, I like to help blind people. Verb, not adjective. "
580,How can you tell the difference between a dog and tree? By their bark.
581,"A couple is watching TV together... ...and the man keeps switching channels back and forth between golf and porn over and over again.Finally, his partner says ""Jesus Christ,can you stop doing that please? Just leave it on porn! You already know how to play golf."""
582,Why are fish so smart? They live in schools!
583,"Bruce Lee was fast, but he had an even faster brother… Sudden Lee. "
584,Did you know the first French fries weren’t really cooked in France? They were cooked in Grease! (Greece)
585,Why didn’t the astronaut come home to his wife? He needed his space.
586,Why did the man fall down the well? Because he couldn't see that well!
587,"Did you hear about the golf match between the black golfer and white golfer from South Africa? Birdie on the last hole would have won the match for the black golfer, but a par tied."
588,"I was going to go on an expensive vacation with a classical pianist, but he was too baroque."
589,"Son: Dad, have you seen my sunglasses? Dad: No, have you seen my dad glasses?"
590,Why did the ram run over the cliff? He didn’t see the ewe turn.
591,My wife told me that I twist everything she says to my advantage. I take that as a compliment.
592,My wife gave birth three times and still fits in her prom dress from high school. I gave birth zero times and I don’t fit in my pants from March.
593,"Did you hear the rumor about butter? Well, I’m not going to spread it! "
594,What’s the best kind of music to listen to when fishing? Something catchy.
595,What’s the difference between a dad and a grill? A grill runs out out of gas.
596,I told my wife she drew her eyebrows too high She told me she's tired of my repost BS and divorced me. It was definitely a surprise.
597,What happens when it rains cats and dogs? You have to be careful not to step in a poodle. 
598,Why did the computer get glasses? To improve its website.
599,"Denmark: ""We will kill 17 million minks by 2021."" China: ""I killed 20 million in two weeks.""World: ""You killed 20 million minks in 2 weeks??""China: ""Oh no, sorry, I must've misheard you."""
