,joke
178,"If April showers bring May flowers, what do May flowers bring?' 'Pilgrims.' "
179,My wife gave me an ultimatum: Her or my addiction to sweets. The decision was a piece of cake. 
180,How did the pirate get his ship for so cheap? It was on sail.
181,"I was playing chess with my friend and he said, “Let’s make this interesting.” So we stopped playing chess."
182,I am in the hospital because my cousin’s brother swallowed a 16gb memory card and he is singing all songs in it Were hoping it doesn't reach video folder...
183,Just finished cleaning my grill. It was grate.
184,I find it hard to talk openly about the holes in my hands and feet Just feels likes there’s a lot of stigmata attached
185,Why did the horny rebellion only last two minutes? Because everyone came
186,What’s the most common form of birth control at Hogwart’s? *Coitus Interruptus*
187,What rock group has four men who don't sing? Mount Rushmore.
188,"My landlord told me we need to talk about the heating bill. ""Sure,"" I said. ""My door is always open."""
189,"A kid decided to burn his house down. His dad watched, tears in his eyes. He put his arm around the mom and said, 'That’s arson.' "
190,What has five toes and isn't your foot? My foot. 
191,I wouldn't buy anything with velcro. It's a total rip-off.
192,What did the buffalo say to his son when he dropped him off at school? Bison. 
193,"Son: ""What's that Daddy?"" (*pointing at Mummy getting out of the shower*)... Daddy: ""That's where mummy was hit by an axe, that's her axe wound.""Son: ""Wow, bloody good shot, got her right in the cunt."""
194,Why do dads take an extra pair of socks when they play golf? In case they get a hole in one.
195,Thinking of having my ashes stored in a glass urn. Remains to be seen.
196,Where’s the one place you should never take your dog? A flea market.
197,It takes guts to be an organ donor.' 
198,"My doctor was really impressed with the amount of hair I had on the scalp for my hair transplant However, he was a *bit* concerned that the scalp was not mine"
199,Did you hear about the cantaloupe that went to a therapist? I guess it was feeling Meloncholy.
200,Did you hear about the hungry clock. It went back four seconds.
201,How does a man on the moon cut his hair? Eclipse it.
202,What did the sink tell the toilet? You look flushed!
203,"My kid is blaming me for ruining their birthday. That's ridiculous, I didn't even know it was today!"
204,Why do vampires always seem sick? They're coffin. 
205,We all know about Murphy's Law: anything that can go wrong will go wrong. But have you heard of Cole's Law? It's thinly sliced cabbage.
206,What's a tornado's favorite game? Twister! 
207,How does the moon cut his hair?' 'Eclipse it.' 
208,"""Cop: I'm arresting you for downloading the entire Wikipedia."" Man: ""Wait! I can explain everything!"""
209,"I used to hate facial hair, but then it grew on me."
210,Why did Novak Djokovic pay for his flight to Australia with a Mastercard? Because his Visa didn’t work. 
211,What do you call an authoritarian couch potato? A dictator tot
212,What has one horn and gives milk? A milk truck.
213,What did the buffalo say to its son when he left? Bison!
214,What room is useless for a ghost? A living room  xD
215,Did you hear Bruce Springsteen changed the lyrics to one of his songs? What’s he going to change next—his hair? His clothes? His face? 
216,"How many telemarketers does it take to change a light bulb? Only one, but he has to do it during dinner."
217,I tried to explain to my 4-year-old son that it’s perfectly normal to accidentally poop your pants. But he’s still making fun of me. 
218,"I have a joke about paper, but it’s tearable."
219,"a joke that i thought of 2 mins ago. kid: mom, can I get $20?”  mom: does it look like I’m made of money?  kid: well, isn’t that what M.O.M stands for?"
220,What do you call a medieval lamp? A knight light.
221,What did Yoda say when he saw himself in 4K? HDMI.
222,Why did Charlie Brown take his pole dancing routine so seriously? He was tired of doing comic strips.
223,Killer whales are great musicians but there's one instrument they just won't play The orcana
224,What do you call a cow with no legs? Ground beef!
225,What's the difference between a cop and a hermit crab? A cop ejects shells much more often
226,"Of all the inventions of the last 100 years, the dry erase board has to be the most remarkable."
227,I was just reminiscing about the beautiful herb garden I had when I was growing up. Good thymes. 
228,Why did the whale blush? It saw the ocean’s bottom.
229,What did the sliced loaf say to the uncliced loaf? OK bloomer.
230,What do you call a cow with a twitch? Beef Jerky.
231,"Hi, I'm a mental health therapist helping people to be more at peace with their lives. Check out my Instagram! I'm a content creator."
232,What do cows like to read? Cattle-logs.
233,They say you should test your fire alarm once a month... But it's costing me a fortune in houses!
234,What religion are crows? Birddism. 
235,"If two vegetarians get in an argument, is it still called beef? "
236,What did the fisherman do when he really liked a woman? He invited her over to net fish and krill.
237,To the person who stole my depression medication: I hope you're happy now.
238,My psychiatrist wrote on my evaluation form that I have ocd. I had to correct it to OCD.
239,Why did the nose feel sad? It was always getting picked on.
240,"If you see a robbery at an Apple store, does that make you an iWitness?"
241,My wife and I let astrology get between us. It Taurus apart. 
242,What do you call a fibbing cat? A lion. 
243,What did the T-Rex use to cut wood? A dino-saw.
244,What kind of magic do cows believe in? Moodoo!
245,What do you call a cow with two legs? Lean beef.
246,What do you call a toothless bear? A gummy bear!
247,Not to brag but I made six figures last year. I was also named worst employee at the toy factory. 
248,Why was the clam limping on Monday morning? Because he went clubbing at the weekend and pulled a mussel.
249,I would avoid the sushi if I was you. It’s a little fishy.
250,Why do vampires always seem sick? They're coffin.
251,"It's easy to convince ladies not to eat Tide Pods, but harder to deter gents."
252,I wasn't going to get a brain transplant. But then I changed my mind.
253,What kind of cars do ghosts drive? Boo-gattis.
254,Why do you never see elephants hiding in trees? Because they’re so good at it!
255,Why is it wrong to bully people in wheel chair? Because they can't stand up for themselves.
256,I used to be addicted to the hokey-pokey until I turned myself around. 
257,"So, Jesus and Satan are sitting on a park bench one day ...just chilling, and Satan asks, ""Hey JC, what's it called when little chunks of ice fall from the sky? It's not like I get to see it very often.""Jesus says, ""Hail, Satan.""And Satan's all like, ""YEEEEEAH, BOI!""And Jesus is all like, ""Oh, you."""
258,Why some people didn't like Hollow Knight? The game was full of bugs.
259,What kind of fruit do ghosts like? Boo-berries.
260,The guy from the damn Daniel vine was arrested for kidnapping children. You could say that he was back at it again with the white vans.
261,"My wife screamed ""you haven't listened to a single word I've said, have you?!"" What a weird way to start a conversation..."
262,The coach went to the bank to get his quarterback.
263,Did you know your pupils are the last part to stop working when you die? They dilate.
264,What kind of magazines do cows read? Cattlelogs!
265,A red and blue ship have collided in the Carribean sea. Apparently the suvivors are marooned.
266,How does a penguin build a house? Igloos it together. 
267,How do you spell “candy” with just two letters? C and Y.
268,What do you call someone who is fluent in 3 languages and marginally conversant in 4th? Pi-Lingual.
269,"When I was a kid, my mother told me I could be anyone I wanted to be. Turns out, identity theft is a crime."
270,What did the sink tell the toilet? “You look flushed.”
271,I wonder what my parents did to fight boredom before the internet. I asked my eighteen brothers and sisters but they didn’t have any idea either.
272,"If the early bird gets the worm, I'll sleep in until there's pancakes. "
273,"On my first day working at a bank an old lady walked in and asked if I could help her check her balance. I said, ""Ma'am, are you sure?""She replied, ""Yes if you don't mind.""So I gave her a slight push and she tipped right over."
274,I heard there is a new shop called Moderation. They have everything in there.
275,"An oxygen atom was looking forward to a threesome, Instead the poor guy got ozoned."
276,What joke is the same in all european languages? USA
277,"What did the banana say to the boy? Nothing, bananas can't talk! "
278,I was just reminiscing about the beautiful herb garden I had when I was growing up. Good thymes. 
279,I asked a friend over for Netflix and Chill and put on Toy Story Within 30 minutes I had a friend in meall credit goes to u/APater6076
280,What is the difference between a literalist and a kleptomaniac?
281,"I went to a really emotional wedding last week, even the cake was in tiers!"
282,I thought about going on an all-almond diet. But that's just nuts.
283,What happens when it rains cats and dogs? You have to be careful not to step in a poodle. 
284,Which bear is the most condescending? A pan-duh.
285,"I'm color blind and the other day I thought I could actually detect purple, but it was just a pigment of my imagination."
286,What kind of award did the dentist receive? A little plaque.
287,What did the two pieces of bread say on their wedding day? It was loaf at first sight.
288,I asked my wife if I was the only one she slept with. She said yes—the others were 7’s and 8’s.
289,The guy who stole my diary just died. My thoughts are with his family.
290,"“Today my son asked me, ‘Can I have a bookmark’? I burst into tears — he’s 12 years old and still doesn’t know my name!”"
291,To the person stole my laptop with my copy of Microsoft Office on it: I will find you. You have my Word!
292,"Did you get a haircut? No, I got them all cut."
293,Saw a right angle resting under a tree this afternoon and thought.... Wow! 90 degrees in the shade!!
294,How do you make holy water? You boil the hell out of it.
295,I hated facial hair but then it grew on me. 
296,Did you hear the one about the kid who started a business tying shoelaces on the playground? It was a knot-for-profit. 
297,Want to know why nurses like red crayons? Sometimes they have to draw blood.
298,Why is it a bad idea to iron a four leaf clover? Because you shouldn’t press your luck! 
299,What do you call an elephant that doesn't matter? An irrelephant.' 
