,joke
85,What did the ravioli play on his birthday? Pasta Parcel.
86,Why can’t you hear a pterodactyl go to the bathroom? The p is silent.
87,I just broke up with my mathematician girlfriend. She was obsessed with an X.
88,Where did Napoleon keep his armies? Up his sleevies!
89,Did you hear about the outlet who got in a fight with the power cord? He thought he could socket to him.
90,Why is it so cheap to throw a party at a haunted house? Because the ghosts bring all the boos. 
91,What has one horn and gives milk? A milk truck.
92,What's Forrest Gump's computer password? 1forrest1
93,Her: I'm leaving. I am sick of you wearing a different t shirt every half an hour. Me: Wait. I can change.
94,"I once saw a one-handed man in a second-hand store. I told him, “I don’t think they have what you’re looking for, sir.”"
95,"Legendary composer Jim Steinman has died at the age of 73... One of his biggest hits was ""Dead Ringer for Love"" a duet by Meat Loaf and Cher. Making the video for the song took weeks, as Cher's working hours were strictly regulated due to most of her being under 18"
96,"I love dad jokes, but I don't have kids, which makes me a Faux Pa."
97,I'm so good at sleeping that I can do it with my eyes closed!
98,What is the difference between a literalist and a kleptomaniac?
99,What did the plumber say to the singer? Nice pipes.
100,Did you hear about the whale that swallowed a clown? It felt funny after.
101,Which days are the strongest? Saturday and Sunday. The rest are weekdays.
102,Where do you take someone who’s been injured in a peak-a-boo accident? To the I-C-U.
103,How do celebrities stay cool? They have many fans.
104,I can't take my dog to the pond anymore because the ducks keep attacking him. That's what I get for buying a pure bread dog.
105,What’s an astronaut’s favorite part of the computer? The Space Bar.
106,I ate a clock the other day. It was very time consuming.
107,Why were the utensils stuck together? They were spooning.
108,What made the tomato blush? It saw the salad dressing.
109,"In America, using the metric system can get you in legal trouble. "
110,What do you call a fish with no eyes? A fsh.
111,"The Australian government recently unveiled their plans for a 1 dollar coin. While some critics questioned the economic viability, the kangaroonie will start circulation next year, according to a government spokesperson."
112,Why can’t a leopard hide? Because he’s always spotted.
113,Ghosts are bad liars because you can see right through them. 
114,Why do you never see elephants hiding in trees? Because they’re so good at it. 
115,What do you call a factory that makes okay products. A satisfactory.
116,"I once saw a one-handed man in a second-hand store. I told him, 'I don’t think they have what you’re looking for, sir.' "
117,I went to pick up my tax forms and HOA application Turns out that's not what they sell at the Adult Store at all.
118,If you’re up at night while the cows are asleep in the field that means it’s pasture bedtime.
119,"birthday card I received from my brother...Forget about the past you can't change it, forget about the future, you can't predict it, forget about the present... I didn't get you one."
120,What’s a horse’s number one priority when voting? The stable economy! 
121,My local hair dresser just got charged with drug dealing. I am shocked. I've been a customer of his for years. He never told me he cut hair.
122,What did the man get for losing the most amount of muscle? Atrophy
123,"""And this baby is our granddaughter. Her name is Degree."" ""I'm sorry, did you say Deborah?""""No, no. Degree. Our daughter left for University and came back with this. It's her Degree."""
124,What is Tesla’s new fragrance called? Elon Musk
125,Where does a zoophile go-to polish his instruments? In his lab
126,Why was the pediatrician always losing his temper? Because he had little patients!
127,I can't wear any clothes with a crocodile on them because I get an allergic reaction. I'm Lacoste intolerant.
128,I ate a clock the other day. It was very time consuming.
129,What do you call someone with no body and no nose? Nobody knows. 
130,What’s Forrest Gump’s password? 1forrest1
131,I was reading a great book about an immortal dog the other day. It was impossible to put down. 
132,I'm afraid for the calendar. Its days are numbered.' 
133,What do you call a sad cup of coffee? Depresso.
134,"I'm reading a horror story in braille. Something bad is going to happen, I can just feel it. "
135,How do flat-earthers travel? On a plane. 
136,"A jumper cable walks into a bar. The bartender says, ""I'll serve you, but don't start anything."""
137,My wife has been secretly storing plenty of graph paper inside her closet. I bet she is plotting something against me.
138,What do you call a bear with no teeth? A gummy bear.
139,I've taken up guessing the weight of Dogs by holding them in my hands over lock-down.... ...I picked up a few pointers this morning!
140,What rock group has four members that can't sing or play instruments? Mount Rushmore
141,My toddler is refusing to nap. He’s guilty of resisting a rest.
142,Did you hear about the claustrophobic astronaut? He just wanted a bit more space.
143,I talk to myself because sometimes I just need expert advice.
144,"Two goldfish are in a tank. One says to the other, ""do you know how to drive this thing?"""
145,What do you call a Frenchman wearing sandals? Philippe Flop.
146,I asked my date to meet me at the gym but she never showed up. I guess the two of us aren't going to work out. 
147,"Niece: I have a lot of friends named Nathan, there's Nathan...(endless droning about nicknames). Me: When they are together, do you call them The United Nathans?"
148,What's a ninja's favorite type of shoes? Sneakers! 
149,"Just say NO to drugs!' Well, if I’m talking to drugs, I probably already said yes. "
150,"My kid wants to invent a pencil with an eraser on each end, but I just don’t see the point. "
151,What's a sea monster's favorite lunch? Fish and ships.
152,What do you call Batman when he keeps skipping mass? Christian Bale.
153,My toddler is refusing to nap. He’s guilty of resisting a rest.
154,If robert frost was bisexual... He would have gone both ways.
155,"Every time I drink food coloring, I dye a little on the inside."
156,"I went to a really emotional wedding last week, even the cake was in tiers!"
157,"200 IQ baby Father: “Say Daddy”Baby: “Mommy”Father: “No, say Daddy”Baby: “Mommy”Father: “Fuck you! Say Daddy!”Baby: “Fuck you”*Mother arrives home*Mother: Honey, I’m back! How’s the baby?Baby: “Fuck you”Mother: “What?! Who taught you that a... read more"
158,Why can’t you trust an atom? Because they make up everything.
159,I decided to sell the vacuum cleaner — it was just gathering dust!
160,Where do boats go when they’re sick? To the dock.
161,What do you call it when James Bond takes a bath? Bubble 07. 
162,What sort of room has no windows or doors? A mushroom!
163,"I have a joke about procrastination, but I’ll tell it to you later."
164,What does a zombie vegetarian eat? “GRRRAAAIINS!”
165,"“I saw a 1,000-year-old oil stain; it was from ancient Greece.”"
166,"A skeleton walks into a bar and says, 'Hey, bartender. I'll have one beer and a mop.'' "
167,Mountains aren't just funny. They're hill areas.' 
168,What did the coffee report to the police? A mugging.' 
169,"I have a joke about statistics, but it’s not significant."
170,"I have a joke about being an electrician, but it’s too shocking."
171,What kind of shoes does a thief wear? Sneakers
172,I had a great joke about COVID… but I don’t wanna spread it around. 
173,I only know 25 letters of the alphabet. I don't know y.' 
174,What did one wall say to the other?' 'I'll meet you at the corner.' 
175,“I got fired from my job as a taxi driver. It turns out nobody thought I was fare.”
176,Why do you never see elephants hiding in trees? Because they're so good at it.
177,What do you call it when a marker raises a good argument? A fine point.
178,If prisoners could take their own mug shots…They’d be called cellfies. 
179,What did the mountain climber name his son? Cliff
180,When my wife is depressed I let her color in my tattoos. She just wants a shoulder to crayon. 
181,Where did the cat go after losing its tail? To the retail store.
182,"I just got my doctor's test results and I'm really upset. Turns out, I'm not gonna be a doctor."
183,What do you call a bear without any teeth? A gummy bear!
184,Wanna hear a joke about construction? I'm still workin' on it!
185,Community is the best sitcom Chang my mind
186,I recently discovered I can move my sister's daughters through the air with my brain but not her sons. I think I have telekinieces.
187,Why was the broom late to class? It over-swept.
188,I don't trust stairs. They're always up to something.
189,I had a fun childhood. My dad used to push me down the hill in old tires. They were Goodyears. 
190,Why is it so cheap to throw a party at a haunted house? Because the ghosts bring all the boos. 
191,I hate Velcro. It's a rip off. 
192,I can't take my dog to the pond anymore because the ducks keep attacking him. That's what I get for buying a pure bread dog.
193,MIlk is the fastest liquid on earth. It's pasterized before you even see it!
194,"Did you hear the rumor about butter? Well, I'm not going to spread it!' "
195,Time flies like an arrow. Fruit flies like a banana.
196,"Your wife and daughter look like twins,' my friend said. 'Well,' I replied, 'they were separated at birth.' "
197,"Do you know the last thing my grandfather said to me before he kicked the bucket? “Grandson, watch how far I can kick this bucket.”"
198,Where do armies belong? In your sleeves.
199,What did the nose tell the finger? Stop picking on me! 
